Time,Substream_ID,<ticker>,<vol>,<close>,Critical
35762,49,EDS,1200,8.45,False
35763,49,EEFT,2733,16.85,False
35764,49,EEI,300,12.74,False
35765,49,EFII,1562,13.21,False
35766,49,EFSC,1000,10.38,False
35767,49,EFUT,100,5.59,False
35768,49,EGBN,100,13.21,False
35769,49,EGHT,4100,2.83,False
35770,49,EGLE,11535,5.04,False
35771,49,EGOV,1600,8.6,False
35772,49,EHTH,1700,15.59,False
35773,49,ELGX,1400,5.88,False
35774,49,ELNK,1500,9.0703,False
35775,49,ELON,4400,9.81,False
35776,49,ELOS,200,9.89,False
35777,49,ELRC,500,15.08,False
35778,49,EMCI,100,22.34,False
35779,49,EMITF,200,12.6,False
35780,49,EMMS,5848,0.59,False
35781,49,ENDP,8000,36.9,False
35782,49,ENG,400,3.0,False
35783,49,ENOC,3666,26.652,False
35784,49,ENSG,500,21.9,False
35785,49,ENTG,6360,6.87,False
35786,49,ENTR,42305,9.43,False
35787,49,ENZN,800,11.26,False
35788,49,EPAX,100,10.95,False
35789,49,EPAY,3000,19.835,False
35790,49,EPIQ,600,13.13,False
35791,49,EQIX,3390,79.5,False
35792,49,ERIC,22933,10.5901,False
35793,49,ERIE,300,62.75,False
35794,49,ERII,100,3.4,False
35795,49,EROC,600,8.08,False
35796,49,ESBK,200,16.9,False
35797,49,ESEA,1300,3.76,False
35798,49,ESGR,600,84.73,False
35799,49,ESIO,4300,15.185,False
35800,49,ESRX,20846,54.42,False
35801,49,ESSA,369,13.15,False
35802,49,ESYS,100,3.4099,False
35803,49,ETFC,12200,15.2501,False
35804,49,EVEP,1030,38.4286,False
35805,49,EVOL,5300,7.85,False
35806,49,EWBC,6688,17.5,False
35807,49,EXAC,100,18.07,False
35808,49,EXAS,3000,6.07,False
35809,49,EXEL,10724,5.9999,False
35810,49,EXFO,200,6.19,False
35811,49,EXLP,809,24.2592,False
35812,49,EXLS,200,20.9,False
35813,49,EXPD,3938,55.2,False
35814,49,EXPE,13071,26.97,False
35815,49,EXPO,200,35.425,False
35816,49,EXTR,2000,3.0099,False
35817,49,EXXI,56038,24.55,False
35818,49,EZCH,4800,25.44,False
35819,49,EZPW,2000,26.18,False
35820,49,FALC,500,2.78,False
35821,49,FARM,400,17.51,False
35822,49,FARO,700,27.005,False
35823,49,FAST,1010,54.99,False
35824,49,FBNC,300,14.71,False
35825,49,FCBC,300,14.15,False
35826,49,FCEL,3500,1.19,False
35827,49,FCFS,2400,29.72,False
35828,49,FCHI,184,52.98,False
35829,49,FCVA,100,3.49,False
35830,49,FDML,500,18.95,False
