Time,Substream_ID,timestamp,jobId,machineId,status,priority,Critical
471,31,771080136,6251640760,17014373,4,2,False
472,31,1426235274,6251722714,17014373,1,2,False
473,31,1601645183,6251754480,17014373,1,2,False
474,31,1777786516,6251754480,17014373,4,2,False
475,31,1830815815,6251722714,17014373,4,2,False
476,31,2178751296,6251803864,17014373,1,2,False
477,31,2241469855,5966089485,17014373,2,0,False
478,31,2241469863,6218406404,17014373,2,0,False
479,31,2241469872,6251812952,17014373,1,2,False
480,31,2919987261,6251803864,17014373,4,2,False
481,31,4834691481,6251812952,17014373,4,2,False
482,31,4853929279,6251974185,17014373,1,2,False
483,31,4952027716,6251982423,17014373,1,2,False
484,31,4952034429,6251983768,17014373,1,0,False
485,31,5036351405,6251983768,17014373,5,0,False
486,31,5205221755,6251982423,17014373,4,2,False
487,31,5372506079,6251974185,17014373,4,2,True
488,32,602572083,6251537638,6565184,4,2,False
489,32,632470343,515042969,6565184,1,0,False
490,32,642694870,515042969,6565184,1,0,False
491,32,735677425,515042969,6565184,1,0,False
492,32,760963902,6251672941,6565184,1,2,False
493,32,1014048731,6251672941,6565184,4,2,False
494,32,1173237023,515042969,6565184,1,0,False
495,32,1242998172,515042969,6565184,1,0,False
496,32,1258889370,515042969,6565184,1,0,False
497,32,1442229961,515042969,6565184,1,0,False
498,32,1442229967,515042969,6565184,1,0,False
499,32,1473912764,515042969,6565184,1,0,False
500,32,1474959105,515042969,6565184,1,0,False
501,32,1512462620,515042969,6565184,1,0,False
502,32,1512462626,515042969,6565184,1,0,False
503,32,1601633043,6251753305,6565184,1,2,False
504,32,1738185558,6251753305,6565184,4,2,False
505,32,2151673888,6251795690,6565184,1,2,False
506,32,2178746470,6251803864,6565184,1,2,False
507,32,2241327407,6238340468,6565184,1,0,False
508,32,2662391067,6251795690,6565184,4,2,False
509,32,2863582260,6251803864,6565184,4,2,False
510,32,3853056247,6251915193,6565184,1,2,False
511,32,4073175284,6251915193,6565184,4,2,False
512,32,4225972808,6251941721,6565184,1,2,False
513,32,4367044535,6251951306,6565184,1,2,False
514,32,4375099466,6251941721,6565184,4,2,False
515,32,4742968883,6251951306,6565184,4,2,True
516,33,603308565,6251537638,854763606,4,2,False
517,33,1426232822,6251722714,854763606,1,2,False
518,33,1823718704,6251722714,854763606,4,2,False
519,33,2102278764,6251779174,854763606,1,2,False
520,33,2242916100,6238340468,854763606,2,0,False
521,33,2242916109,6221861800,854763606,2,0,False
522,33,2242916117,6221861800,854763606,2,0,False
523,33,2242916126,6251812952,854763606,1,2,False
524,33,2574531902,6251779174,854763606,4,2,False
525,33,3939593277,6251921741,854763606,1,2,False
526,33,4225971705,6251941721,854763606,1,2,False
527,33,4393779282,6251941721,854763606,4,2,False
528,33,4606834917,6251921741,854763606,4,2,False
529,33,4851226315,6251812952,854763606,4,2,False
530,33,4952032678,6251982423,854763606,1,2,False
531,33,5144838796,6251995937,854763606,1,0,False
532,33,5267744324,6251982423,854763606,4,2,True
533,34,603308742,6251537638,6570711,4,2,False
534,34,1426243157,6251723929,6570711,1,2,False
535,34,1451128707,6251735407,6570711,1,2,False
536,34,1537169682,6251735407,6570711,4,2,False
537,34,2242916754,6238340468,6570711,2,0,False
538,34,2242916764,6251812952,6570711,1,2,False
539,34,2458415269,5567180387,6570711,1,0,False
540,34,2839263153,6251723929,6570711,4,2,False
541,34,2852986302,6251866953,6570711,1,2,False
542,34,3083779828,6251866953,6570711,4,2,False
543,34,3527464190,6251899333,6570711,1,2,False
544,34,3729843836,6251899333,6570711,4,2,False
545,34,5179753692,6251812952,6570711,4,2,True
546,35,603308799,6251537638,2097406836,4,2,False
547,35,760963411,6251672941,2097406836,1,2,False
548,35,1321185589,6251672941,2097406836,5,2,False
549,35,1400586491,6251717526,2097406836,1,2,False
550,35,1707340021,6251717526,2097406836,4,2,False
551,35,2140230777,6251784940,2097406836,1,2,False
552,35,2489666221,6251845818,2097406836,1,2,False
553,35,2546786110,6251784940,2097406836,4,2,False
554,35,3221086038,6251845818,2097406836,4,2,False
555,35,3527464232,6251899333,2097406836,1,2,False
556,35,3729843924,6251899333,2097406836,4,2,False
557,35,4207121968,6251938667,2097406836,1,0,False
558,35,4337568968,6251938667,2097406836,4,0,False
559,35,4367040360,6251951306,2097406836,1,2,False
560,35,4584088820,6251951306,2097406836,4,2,True
561,36,603308893,6251537638,171449883,4,2,False
562,36,760962022,6251672941,171449883,1,2,False
563,36,976847691,6251672941,171449883,4,2,False
564,36,1400580020,6251717526,171449883,1,2,False
565,36,1426226012,6251722714,171449883,1,2,False
566,36,1707340226,6251717526,171449883,4,2,False
567,36,1839612520,6251722714,171449883,4,2,False
568,36,2140249735,6251784940,171449883,1,2,False
569,36,2178751355,6251803864,171449883,1,2,False
570,36,2244977975,6238340468,171449883,1,0,False
571,36,2514428539,6251784940,171449883,4,2,False
572,36,2945436307,6251803864,171449883,4,2,False
573,36,3239665466,6251882848,171449883,1,2,False
574,36,3446299124,6251882848,171449883,4,2,False
575,36,3527457804,6251899333,171449883,1,2,False
576,36,3716100573,6251899333,171449883,4,2,False
